.imp	.id	ParentModel	ParentControl	ParentUtts3	ParentResponse	ChildSpecComps	ChildProd1	ChildProd2	p_iq	c_58_cwt	p_resp_mlu	LogParentModel	LogParentControl	LogChildSpec	LogChildProd2
5	27	3	7	2985	1	7	1	5	120	574	4.355744681	1.386294361	2.079441542	2.079441542	1.791759469
5	28	4	6	2598	1	13	1	3	124	939	4.706896552	1.609437912	1.945910149	2.63905733	1.386294361
5	29	4	16	3200	0	2	0	1	114	964	4.540489642	1.609437912	2.833213344	1.098612289	0.693147181
5	30	25	23	5994	1	4	0	0	112	915	4.52948801	3.258096538	3.17805383	1.609437912	0
5	31	2	4	1759	0	13	0	2	117	1043	4.066787004	1.098612289	1.609437912	2.63905733	1.098612289
5	32	9	26	4511	0	28	1	3	117	1761	3.585662211	2.302585093	3.295836866	3.36729583	1.386294361
5	33	6	17	4135	1	28	0	10	102	1209	4.636730575	1.945910149	2.890371758	3.36729583	2.397895273
5	34	9	29	4089	1	9	0	5	110	992	4.609737828	2.302585093	3.401197382	2.302585093	1.791759469
5	35	11	16	4166	0	13	3	7	115	1459	4.314119171	2.48490665	2.833213344	2.63905733	2.079441542
5	36	5	12	3657	0	5	0	1	101	996	4.118421053	1.791759469	2.564949357	1.791759469	0.693147181
5	37	3	8	2844	0	5	2	3	75	1179	3.987912973	1.386294361	2.197224577	1.791759469	1.386294361
5	38	3	10	3698	1	12	1	4	107	1176	3.468122271	1.386294361	2.397895273	2.564949357	1.609437912
5	39	13	5	2714	0	18	4	12	104	847	4.685121107	2.63905733	1.791759469	2.944438979	2.564949357
5	40	4	1	4837	1	7	0	0	119	1116	4.073876618	1.609437912	0.693147181	2.079441542	0
5	41	2	3	1000	0	13	2	3	113	1027	3.540983607	1.098612289	1.386294361	2.63905733	1.386294361
5	42	2	8	2263	0	12	0	2	113	1090	4.489830508	1.098612289	2.197224577	2.564949357	1.098612289
